gene_id	condition	log2_fold_change	p_value	p_value_corrected	base_mean
4536	Experimental	-0.6525891791319111	4.0851511134570047e-22	1.6085691024348303e-17	57210.54595784866
4519	Experimental	-1.0666467624237999	5.709325332289081e-20	2.2481039428421484e-15	46684.70761397917
1717	Experimental	-15.327178333417073	8.541834936854591e-19	3.3634329247358634e-14	23117.43139192022
4540	Experimental	-0.8616764149407953	1.362558219978144e-16	5.36520924698594e-12	60940.026658138246
1646	Experimental	-13.749615334151011	5.168779226767805e-15	2.0352585083320907e-10	7530.438998163217
102724852	Experimental	-9.378836825841706	8.044121830611326e-12	3.167453412021516e-07	12282.75535731631
7314	Experimental	-11.641285092334657	1.4199036830998467e-11	5.591012742573957e-07	5039.174329428004
283120	Experimental	-9.269855451155241	2.2549478784805356e-11	8.879082766304957e-07	9918.933619939704
4535	Experimental	-1.4244436230290913	5.060834679679213e-11	1.992754263470487e-06	30530.516427152183
4514	Experimental	-1.3779739393222796	7.749734527208067e-11	3.0515354674334483e-06	99970.01332342709
3486	Experimental	-7.945190844250574	4.159203176215891e-09	0.00016377278426667693	6622.032857229232
255738	Experimental	-12.37756899726797	8.161685884329227e-09	0.00032137454338134765	2990.8139981632166
1645	Experimental	-11.290697133624441	1.116900872577822e-08	0.0004397908875862432	3320.658303922274
218	Experimental	-11.238515782443566	1.571797401891565e-08	0.0006189109449688226	3262.2833039222737
4502	Experimental	1.7905131004122519	1.5844017808754703e-08	0.0006238740452375252	16418.828415099608
6678	Experimental	-9.331690539974597	8.633887954760532e-08	0.003399679721066507	3454.94115759197
7045	Experimental	-7.473585651321105	1.0913014628015444e-07	0.004297108639927361	4935.194175799618
3397	Experimental	-6.521051215228202	2.0211126029502816e-07	0.007958332985377028	6387.952278198986
3855	Experimental	-6.503501547100576	3.139381891108676e-07	0.012361630134429523	6235.098167619007
3240	Experimental	2.256571916219349	3.385577274177638e-07	0.013331049074801867	0.5079703849693136
389421	Experimental	2.256571916219349	3.385577274177638e-07	0.013331049074801867	0.5079703849693136
102465534	Experimental	2.256571916219349	3.385577274177638e-07	0.013331049074801867	0.5079703849693136
406932	Experimental	2.256571916219349	3.385577274177638e-07	0.013331049074801867	0.5079703849693136
11259	Experimental	2.256571916219349	3.385577274177638e-07	0.013331049074801867	0.5079703849693136
2040	Experimental	-10.740068174960776	4.915408442685584e-07	0.019354912283918755	2653.7908658767815
107985012	Experimental	1.7331567401650627	6.960927222858087e-07	0.027409347032726003	0.5631976792776121
1080	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
100188847	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
4543	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
57144	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
5341	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
107985595	Experimental	1.8265653452734743	7.088265346229943e-07	0.027910753627315023	0.5941748371884147
107986273	Experimental	1.6728960154665942	7.76909865903826e-07	0.030591602879829052	0.5790132983947934
105373527	Experimental	1.6728960154665942	7.76909865903826e-07	0.030591602879829052	0.5790132983947934
107985208	Experimental	1.6989727495875966	7.810064328724735e-07	0.03075290930078652	0.5876374750030484
107985957	Experimental	1.6972472528433824	8.114170453367082e-07	0.03195035757717822	0.5986802663674125
102466984	Experimental	1.6972472528433824	8.114170453367082e-07	0.03195035757717822	0.5986802663674125
100132813	Experimental	1.687545198265096	8.140748345991143e-07	0.03205501068717472	0.5969775561178142
440346	Experimental	1.687545198265096	8.140748345991143e-07	0.03205501068717472	0.5969775561178142
100616263	Experimental	1.687545198265096	8.140748345991143e-07	0.03205501068717472	0.5969775561178142
129446	Experimental	1.8673295712854496	1.0896104477884822e-06	0.042904500992119274	0.7539380317406437
100874011	Experimental	1.4742174534201864	1.0898069945470832e-06	0.04291224021728595	0.6289200947896072
107984878	Experimental	1.4742174534201864	1.0898069945470832e-06	0.04291224021728595	0.6289200947896072
3101	Experimental	1.2904144459570848	1.2770099166740241e-06	0.050283542478956375	0.6302152731751235
105373220	Experimental	1.4233209495691148	1.3227247714881506e-06	0.05208361060211742	0.6790588042391598
105376704	Experimental	1.373248975823615	1.3396287955847376e-06	0.05274922345494463	0.6688919202206014
2199	Experimental	-8.590402832922013	1.3530141270011207e-06	0.05327628426479613	3059.7626104148685
103344718	Experimental	-8.047148149626288	1.3626469016821e-06	0.05365558440063437	3347.8538912046097
105374690	Experimental	1.497645601132534	1.3682625783498853e-06	0.05387670728510508	0.7137661388710049
105369954	Experimental	1.2985607377302337	1.4167133270989054e-06	0.0557845039678465	0.6668709031856297
107985563	Experimental	1.2985607377302337	1.4167133270989054e-06	0.0557845039678465	0.6668709031856297
27004	Experimental	1.2985607377302337	1.4167133270989054e-06	0.0557845039678465	0.6668709031856297
105379857	Experimental	1.330280850367025	1.4466654162707909e-06	0.056963897431078665	0.6831150485503321
2847	Experimental	1.4604630163222596	1.4593900472146324e-06	0.057464942499123366	0.7257199295969934
51334	Experimental	2.4630947926110505	1.4600235880553219e-06	0.05748988880326635	1.2253544295100964
3127	Experimental	1.369955602578461	1.4685136851952805e-06	0.057824194868249364	0.700085956495835
79626	Experimental	1.2778087298531022	1.5105516636567647e-06	0.059479482308148764	0.6831758731049359
1545	Experimental	-6.745778672541506	1.5479912689027367e-06	0.06095370420431416	4311.033381948514
105371434	Experimental	1.2221804372494134	1.5718981322358361e-06	0.061895060854918284	0.6813919202206015
107984309	Experimental	1.2675262533652936	1.5800292975994134e-06	0.062215233622274504	0.6961061678385658
