gene_id	condition	log2_fold_change	p_value	p_value_corrected
105376397	Experimental	-1.374030604954587	0.03571428571428571	0.5343257807232763
105377609	Experimental	-3.0131715253521896	0.03571428571428571	0.5343257807232763
100996732	Experimental	-1.3855701079295255	0.03571428571428571	0.5343257807232763
55531	Experimental	1.054843806057129	0.03571428571428571	0.5343257807232763
2977	Experimental	-5.143221550675869	0.03571428571428571	0.5343257807232763
440068	Experimental	-4.752996054117246	0.03571428571428571	0.5343257807232763
114769	Experimental	-5.5173023401509225	0.03571428571428571	0.5343257807232763
728339	Experimental	-1.6797615366464111	0.03571428571428571	0.5343257807232763
101928477	Experimental	-2.4321778256222397	0.03571428571428571	0.5343257807232763
57569	Experimental	-3.791285755208494	0.03571428571428571	0.5343257807232763
101928424	Experimental	-1.0922798927679531	0.03571428571428571	0.5343257807232763
100616479	Experimental	-2.5498662423667144	0.03571428571428571	0.5343257807232763
105374612	Experimental	-2.609354466268955	0.03571428571428571	0.5343257807232763
340024	Experimental	-2.6709594745680594	0.03571428571428571	0.5343257807232763
84441	Experimental	-1.9282886526857144	0.03571428571428571	0.5343257807232763
100129203	Experimental	-3.3188653704097013	0.03571428571428571	0.5343257807232763
143689	Experimental	-2.3412883617688314	0.03571428571428571	0.5343257807232763
645166	Experimental	-2.303800600520191	0.03571428571428571	0.5343257807232763
2526	Experimental	-4.96024006932429	0.03571428571428571	0.5343257807232763
85409	Experimental	-6.631682594745331	0.03571428571428571	0.5343257807232763
728609	Experimental	-1.1232674161700518	0.03571428571428571	0.5343257807232763
399948	Experimental	-6.837575182542353	0.03571428571428571	0.5343257807232763
120376	Experimental	-6.99364302198031	0.03571428571428571	0.5343257807232763
3014	Experimental	-1.0045230408870736	0.03571428571428571	0.5343257807232763
647121	Experimental	-1.2272732192864109	0.03571428571428571	0.5343257807232763
643	Experimental	-1.369696555365629	0.03571428571428571	0.5343257807232763
11181	Experimental	-0.9880054147199274	0.03571428571428571	0.5343257807232763
84866	Experimental	0.8876150978024194	0.03571428571428571	0.5343257807232763
