GeneID	GSM6311037	GSM6311038	GSM6311039	GSM6311040
100287102	1	2	1	1
653635	354	367	369	372
102466751	8	3	5	5
107985730	0	0	0	0
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	27	28	37	33
729737	465	435	716	693
102725121	0	1	1	1
102723897	365	364	432	360
102465909	1	1	2	3
107985721	1	0	0	0
112268260	7	4	6	6
729759	0	0	0	0
100132287	111	99	159	140
105378947	1	1	6	0
101928626	0	0	0	0
113219467	403	380	437	452
81399	1	1	1	0
100133331	74	55	97	91
107984841	22	24	34	35
107984847	22	19	37	30
107984849	6	8	18	18
100288069	33	28	28	33
105378580	11	8	15	8
400728	4	1	3	4
79854	19	29	42	37
643837	229	264	155	169
107984850	0	0	0	0
284593	1	0	1	0
284600	0	4	5	2
100130417	4	1	3	0
107985728	6	3	13	7
148398	413	405	316	285
26155	6897	6917	5424	4539
339451	327	343	472	436
84069	190	189	179	143
84808	37	24	30	16
57801	306	345	501	475
9636	270	284	494	428
375790	8304	8224	9300	7764
100288175	37	44	46	39
112267874	15	19	25	21
105378948	41	48	71	69
401934	81	78	43	43
54991	377	369	300	271
254099	0	0	0	0
406984	0	3	2	0
406983	0	0	0	0
554210	9	8	4	4
100506376	0	1	1	1
254173	9	12	3	8
8784	0	0	0	1
7293	1	0	1	0
51150	2452	2499	2406	2063
126792	493	504	345	255
388581	4	3	17	16
118424	1929	1825	1594	1395
101928895	10	8	12	15
6339	10	5	28	34
116983	485	474	500	432
102465434	0	1	0	0
109623456	5	3	6	1
126789	591	583	453	387
54973	2037	2185	2167	1866
102465435	17	12	8	4
80772	872	893	674	669
83756	36	41	20	24
1855	2170	2255	2338	1976
102466740	3	4	6	3
54587	62	90	104	91
54998	2983	2916	2232	1956
81669	1261	1325	1330	1193
148413	475	488	353	297
55052	1660	1662	1119	989
107984868	4	1	5	8
441869	78	74	137	99
105378585	14	7	22	20
643965	18	38	50	75
102724312	7	4	12	9
107985729	5	3	9	11
64856	1693	1739	1431	1229
219293	44	50	59	44
83858	1831	1912	1131	954
55210	2184	2277	1543	1309
339453	20	22	21	20
29101	2144	2152	1971	1729
643988	0	0	0	0
105378586	0	0	0	0
142678	1709	1789	1506	1155
8510	72	54	41	46
984	1318	1253	1155	1038
728661	854	878	1092	989
8511	24	21	12	8
728642	819	829	685	698
9906	284	286	466	438
112268218	62	59	74	63
65220	848	869	1015	802
2782	5010	5041	4997	4656
105378949	6	4	9	12
163688	0	0	1	0
339456	12	7	15	7
85452	2	0	0	1
107984872	0	0	0	1
105378589	0	0	0	0
2563	0	0	0	0
105378590	0	0	0	0
105378591	0	0	0	0
5590	435	461	418	419
100506504	30	25	51	43
199990	730	808	782	609
112268219	123	108	78	82
105378593	0	0	1	0
6497	1648	1685	1663	1323
79906	230	219	283	204
100129534	90	90	89	53
11079	2900	2920	2576	2274
5192	400	341	341	304
9651	47	58	166	149
55229	473	509	617	540
388585	0	0	0	0
115110	0	0	0	1
8764	0	1	4	4
100996583	0	0	0	0
127281	333	312	353	307
79258	32	30	41	32
105378597	0	0	1	0
100287898	1	2	14	6
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	0
63976	0	0	0	0
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	0	0	0	0
27237	928	922	1072	855
1953	184	205	422	432
105378608	2	0	2	0
693135	0	0	0	0
105378607	0	0	0	0
127262	606	559	707	617
49856	687	711	860	793
7161	23	22	37	45
105378610	1	0	0	0
105378609	0	0	0	0
57212	1	2	0	0
148870	0	2	1	1
388588	8	11	20	21
57470	1668	1732	1610	1368
9731	512	543	583	557
1677	166	159	230	214
107984910	9	10	5	5
339448	448	401	463	393
100133612	5	7	5	2
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	2	0	0	0
55966	0	0	0	0
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	1
261734	161	161	327	281
8514	368	364	440	376
26038	6	2	7	5
105376687	0	0	0	0
6146	4525	4431	4112	3743
107985733	54	57	66	43
102724450	28	0	7	25
388591	163	195	167	133
23463	1947	1992	1851	1698
148645	2	3	0	4
390992	0	0	1	0
387509	178	187	373	329
11332	1431	1526	1628	1398
