gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
7057	Experimental	-1.1149077307076438	0.0	0.0	67095.66666666667
4514	Experimental	-0.6784794781508905	2.1510751177805248e-225	4.2350366918862976e-221	80610.33333333336
4512	Experimental	0.4907385488016034	2.0007637801663458e-203	2.6260691535943343e-199	242373.00000000003
4550	Experimental	0.590852115616682	5.257332834119203e-175	5.175318441906944e-171	100903.33333333336
60	Experimental	-0.46365239369576694	2.3768028782669783e-173	1.8717798026928106e-169	120833.33333333337
4538	Experimental	0.5416560658472069	7.486651298649754e-160	4.913239692260545e-156	117992.00000000004
5339	Experimental	-1.298029541488136	6.1889210364129525e-146	3.481356496139949e-142	32647.66666666667
4513	Experimental	0.5508034719503496	2.3314131799141284e-110	1.147521567153734e-106	85958.66666666669
4536	Experimental	-0.6300193720888202	3.263086856425666e-106	1.427636756206856e-102	60360.666666666686
203068	Experimental	-0.6203797356187347	2.0057829755664204e-73	7.897971044590337e-70	57369.00000000001
10376	Experimental	-0.8724395067251263	3.176745772384182e-70	1.1371594684854506e-66	45088.33333333334
3312	Experimental	-0.9689833347890352	1.2889792324602488e-69	4.2295705214462294e-66	30946.66666666667
8140	Experimental	0.3786422208393035	2.1077439311841077e-49	6.3841942334081096e-46	73037.33333333336
1915	Experimental	0.17868046659512776	4.2895570931780974e-44	1.2064685721498626e-40	141300.33333333334
4535	Experimental	-0.9214875255419611	2.4655407848320905e-42	6.472208929569893e-39	24589.33333333334
4519	Experimental	-0.5309130932453943	7.154794011207125e-42	1.7607948061580735e-38	43777.66666666668
4070	Experimental	1.853673601332851	2.1995838571977313e-32	5.094753762412816e-29	16668.0
4508	Experimental	-0.25784151868344635	1.211830215511517e-28	2.6509459203323055e-25	74962.33333333336
4869	Experimental	-0.8739698601328906	3.6030689536336506e-28	7.4670759535936125e-25	23977.666666666668
3326	Experimental	-0.7701687547855038	5.658342868112956e-27	1.1140145438740787e-23	23680.000000000004
3320	Experimental	-1.1994110053495644	9.020373722103558e-26	1.6913630270549987e-22	18325.000000000004
10383	Experimental	-1.1763540213653434	1.4178869065495116e-22	2.537759765104253e-19	13935.333333333336
2152	Experimental	-1.2513129370565261	1.1158249659177046e-21	1.9102923416511104e-18	14966.333333333336
4540	Experimental	-0.30287968836125156	5.420553974380318e-21	8.893322220633308e-18	58557.0
84790	Experimental	-1.013330578938928	1.3555573178106938e-20	2.1350569978445553e-17	15280.000000000005
1981	Experimental	-0.7253745690824935	1.425260745530357e-18	2.1585025813847438e-15	20458.66666666667
1938	Experimental	0.2812148642408111	4.704509102984374e-18	6.860916682930099e-15	63479.33333333334
1982	Experimental	-0.9093967685681854	3.2750557006042835e-16	4.605664045249795e-13	15329.333333333336
5315	Experimental	-0.4325587920549531	2.5880575435826364e-15	3.514046684003789e-12	41310.00000000001
4627	Experimental	-0.38118981918535255	8.677705765356143e-15	1.1389778073888784e-11	35046.66666666668
1984	Experimental	-0.6813772317122706	1.3105844091662727e-14	1.6646958611397147e-11	19117.33333333334
3491	Experimental	0.8425318213022722	2.4693952177534483e-12	3.0385908154456183e-09	16794.000000000004
2316	Experimental	-0.31344197219209785	4.572390217592234e-12	5.455831430542782e-09	40918.333333333336
9052	Experimental	1.1352898528833717	1.3418306898130865e-11	1.55399780123765e-08	12807.0
4691	Experimental	-0.8366427308286741	1.740750009776938e-11	1.9583934967136205e-08	13463.000000000002
3875	Experimental	0.37766704547855473	6.312194966624517e-11	6.904138583494639e-08	32429.000000000004
2495	Experimental	0.8077138943444606	1.2282838065356062e-10	1.3071595450309737e-07	16054.0
4502	Experimental	0.8691081570560542	1.9537168514518897e-09	2.0244619669149897e-06	13984.333333333336
3181	Experimental	-0.8169586839417755	2.281709733726097e-09	2.303707755774328e-06	12458.000000000002
7167	Experimental	-0.609510134374559	6.390919891618798e-09	6.291221541309544e-06	16141.66666666667
71	Experimental	-0.22130533894969084	1.0432203720740736e-08	1.0018986675802127e-05	46768.00000000001
6187	Experimental	0.19046294205801606	1.8336539209261547e-08	1.7190942092949587e-05	53824.00000000001
